ID,generation,school1,major type,major1_1,major1_2,major_data,job,class1,class2,class3,class4,re_registration,contest_award,nationality,inflow_route,whyBDA,what_to_gain,hope_for_group,previous_class_3,previous_class_4,previous_class_5,previous_class_6,previous_class_7,previous_class_8,major_field,desired_career_path,completed_semester,project_type,time_input,desired_job,certificate_acquisition,desired_certificate,desired_job_except_data,incumbents_level,incumbents_lecture,incumbents_company_level,incumbents_lecture_type,incumbents_lecture_scale,incumbents_lecture_scale_reason,interested_company,expected_domain,contest_participation,idea_contest,onedayclass_topic,completed
TRAIN_010,9,40,단일 전공,경영학,,False,대학생,5,,,,예,,내국인,기존 학회원 또는 운영진,이전 기수에 매우 만족해서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,해당없음,해당없음,0004 : 데이터 분석 입문반 (머신러닝),경영학,취업,8.0,팀,2.0,"G. PM/서비스 기획자, I. 마케터",없음,"ADsP, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증","B. 기획 / 전략 / 경영 직무, C. MD, F. PM / 서비스 기획자, H. 마케터 / 영업관리",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),스타트업 C-level,"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,인원이 많을수록 관심 있는 분야에 대한 다른 사람들의 관점을 배우기 좋음,아이디어스,"C. 제조업, O. 공공 행정, 국방 및 사회보장 행정",,,"데이터 시각화 (Matplotlib, Seaborn 등), 웹 크롤링",0
TRAIN_011,9,27,단일 전공,자연과학,,True,대학생,5,,,,아니요,,내국인,에브리타임,"큰 규모인 만큼, 커리큘럼이나 운영 등 관리가 잘 될것 같아서",프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,,"경영학, 경제통상학",취업,7.0,개인,2.0,"B. 데이터 분석가, C. 데이터 사이언티스트",없음,"ADsP, SQLD",D. 소프트웨어 개발자,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,여러 현직자 중 본인 상황에 적합한 분을 선택하여 듣는 게 좋을 것 같아서,인바이테,"J. 정보통신업, M. 전문, 과학 및 기술 서비스업",,,"머신러닝 / 딥러닝 응용, SQL 응용",0
TRAIN_012,9,18,단일 전공,경영학,,False,대학생,7,,,,예,,내국인,기존 학회원 또는 운영진,이전 기수에 매우 만족해서,프로젝트 경험,아니요. 개인적으로 학회 활동을 하고 싶어요,해당없음,해당없음,해당없음,해당없음,해당없음,0002 : SQL 문법 기초반,사회과학,취업,7.0,개인,2.0,"G. PM/서비스 기획자, I. 마케터","SQLD, 구글 애널리스트","ADsP, 태블로 관련 자격증","A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무, F. PM / 서비스 기획자, H. 마케터 / 영업관리",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자, , ,C. 제조업,,,"Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, SQL 응용, 웹 크롤링",1
TRAIN_013,9,5,단일 전공,경영학,,True,대학생,1,,,,아니요,,내국인,에브리타임,"큰 규모인 만큼, 커리큘럼이나 운영 등 관리가 잘 될것 같아서",데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,공학 (컴퓨터 공학 제외),취업,2.0,팀,3.0,"A. 데이터 엔지니어, B. 데이터 분석가, E. 소프트웨어 개발자",없음,빅데이터 분석 기사,"B. 기획 / 전략 / 경영 직무, D. 소프트웨어 개발자, H. 마케터 / 영업관리",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)",오프라인,3~50명 내외의 강의 리스너와 1명의 현직자,듣는 인원이 적으면 부담스럽다,오뚜기,C. 제조업,,,Python 응용,0
TRAIN_014,9,39,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),사회과학,True,직장인,2,,,,아니요,,내국인,인스타그램,시간적으로 부담이 없어서,데이터 분석 역량,아니요. 개인적으로 학회 활동을 하고 싶어요,,,,,,,IT (컴퓨터 공학 포함),취업,8.0,개인,2.0,"A. 데이터 엔지니어, B. 데이터 분석가, C. 데이터 사이언티스트, D. 인공지능 전문가",ADsP,"SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트","D. 소프트웨어 개발자, F. PM / 서비스 기획자",시니어 (10년차 ~),산업 트렌드 (예시: ChatGPT로 인한 직무 변화),해외 기업 (빅테크),온라인,3~50명 내외의 강의 리스너와 1명의 현직자,다양한 시각의 질문들이 나와 얻는 것들이 많다,"넥슨, 스마일게이트, 넷마블, ea코리아 등 ","M. 전문, 과학 및 기술 서비스업, R. 예술, 스포츠 및 여가관련 서비스업",,,SQL 응용,0
TRAIN_015,9,74,단일 전공,사회과학,,False,대학생,2,5.0,,,아니요,,내국인,"대외활동 사이트(링커리어, 캠퍼스픽, 캠퍼즈, 위비티 등)",혼자 공부하기 어려워서,프로젝트 경험,네. 온라인으로 참여하고 싶어요,,,,,,,"사회과학, 인문학",취업,7.0,팀,1.5,"B. 데이터 분석가, G. PM/서비스 기획자, I. 마케터, J. MD",없음,"ADsP, SQLD, 빅데이터 분석 기사","B. 기획 / 전략 / 경영 직무, C. MD, F. PM / 서비스 기획자, H. 마케터 / 영업관리",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,내가 들을 수 있는 기회를 많이 제공받을 수 있을 거 같아서,"토스, 텐센트","C. 제조업, J. 정보통신업, K. 금융 및 보험업, U. 국제 및 외국기관",,,"데이터 시각화 (Matplotlib, Seaborn 등), 웹 크롤링",0
TRAIN_016,9,10,"복수 전공 ( 다중전공, 이중전공 포함 )",의약학,자연과학,False,대학생,8,,,,예,,내국인,기존 학회원 또는 운영진,이전 기수에 매우 만족해서,공모전 경험,네. 온라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,0004 : 데이터 분석 입문반 (머신러닝),0006 : 데이터 분석 전처리반(판다스),0007 : 데이터 분석 전처리 적용반,자연과학,대학원 진학,10.0,팀,2.0,"A. 데이터 엔지니어, B. 데이터 분석가, C. 데이터 사이언티스트, D. 인공지능 전문가, E. 소프트웨어 개발자, H. 자연과학계열 연구자",SQLD,"ADsP, 빅데이터 분석 기사, 정보처리기사",G. 자연과학계열 연구자,시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카라쿠배당토),"온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,적당하다고 생각하는 규모라서,"쓰리빌리언, 인실리코젠, 쓰리빅스","M. 전문, 과학 및 기술 서비스업",,,"Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용",1
TRAIN_017,9,31,단일 전공,경영학,,True,대학생,4,6.0,12.0,,아니요,,내국인,에브리타임,"학회 가입 시 코딩 테스트, 면접 등을 보지 않아서",데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,경영학,취업,8.0,팀,4.0,"A. 데이터 엔지니어, B. 데이터 분석가","ADsP, SQLD",정보처리기사,"A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무",시니어 (10년차 ~),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,적당한 것 같습니다,"토스, 신한카드","K. 금융 및 보험업, L. 부동산업",,,"Python 응용, 머신러닝 / 딥러닝 응용",0
TRAIN_018,9,24,"복수 전공 ( 다중전공, 이중전공 포함 )",사회과학,경영학,False,대학생,2,,,,아니요,,내국인,에브리타임,"큰 규모인 만큼, 커리큘럼이나 운영 등 관리가 잘 될것 같아서",데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,,사회과학,취업,6.0,팀,3.0,"I. 마케터, J. MD",구글 애널리스트,"SQLD, 정보처리기사","B. 기획 / 전략 / 경영 직무, H. 마케터 / 영업관리",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 시각을 같은 자리에서 들어보고 싶습니다. ,구글,U. 국제 및 외국기관,,,"Python 응용, SQL 응용",1
TRAIN_019,9,54,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),True,대학생,4,5.0,,,예,,내국인,기존 학회원 또는 운영진,이전 기수에 매우 만족해서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,해당없음,해당없음,0001 : 파이썬 문법 기초반,IT (컴퓨터 공학 포함),취업,5.0,팀,3.0,"A. 데이터 엔지니어, B. 데이터 분석가, C. 데이터 사이언티스트",없음,"ADsP, SQLD, 빅데이터 분석 기사","B. 기획 / 전략 / 경영 직무, H. 마케터 / 영업관리",주니어 (0~3년차),산업 트렌드 (예시: ChatGPT로 인한 직무 변화),해외 기업 (빅테크),"온, 오프라인 동시",10명 내외의 강의 리스너와 1명의 현직자,인원이 적어야 집중할 수 있어서,매일유업,"M. 전문, 과학 및 기술 서비스업, Q. 보건업 및 사회복지 서비스업, R. 예술, 스포츠 및 여가관련 서비스업, U. 국제 및 외국기관",,,"데이터 시각화 (Matplotlib, Seaborn 등)",0
TRAIN_020,9,27,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,4,,,,아니요,,내국인,지인 추천,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,IT (컴퓨터 공학 포함),창업,6.0,개인,2.0,"D. 인공지능 전문가, G. PM/서비스 기획자",정보처리기사,ADsP,D. 소프트웨어 개발자,주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카라쿠배당토),"온, 오프라인 동시",10명 내외의 강의 리스너와 1명의 현직자,인원이 적은 것이 QnA 용이,토스,"M. 전문, 과학 및 기술 서비스업, P. 교육 서비스업",,,"Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용",0
TRAIN_021,9,17,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,2,4.0,6.0,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,IT (컴퓨터 공학 포함),취업,4.0,팀,3.0,B. 데이터 분석가,ADsP,"SQLD, 빅데이터 분석 기사, 정보처리기사, 사회조사분석사, sqlp 등","A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무, C. MD",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,많은 인원이 수강하는 강의를 듣고 싶음. 다양한 시각에서의 질문과 답변을 들을 수 있을 거 같아서,"공기업, 토스",J. 정보통신업,,,"Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, SQL 응용, 웹 크롤링",0
TRAIN_022,9,38,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,7,,,,아니요,,내국인,에브리타임,"학회 가입 시 코딩 테스트, 면접 등을 보지 않아서",데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,IT (컴퓨터 공학 포함),취업,6.0,개인,2.0,A. 데이터 엔지니어,SQLD,"ADsP, 정보처리기사",A. 금융 / 보험 직무,주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카라쿠배당토),"온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,적당한 인원이라고 생각합니다,토스,"J. 정보통신업, K. 금융 및 보험업",,,웹 크롤링,1
TRAIN_023,9,5,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),사회과학,False,대학생,4,5.0,,,아니요,,내국인,에브리타임,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,인문학,취업,7.0,개인,2.0,"B. 데이터 분석가, G. PM/서비스 기획자, I. 마케터","ADsP, SQLD","빅데이터 분석 기사, 정보처리기사, 구글 애널리스트",F. PM / 서비스 기획자,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,인원이 적어야 집중할 수 있어서,삼성,"J. 정보통신업, M. 전문, 과학 및 기술 서비스업",,,"데이터 시각화 (Matplotlib, Seaborn 등)",1
TRAIN_024,9,22,단일 전공,경제통상학,,False,대학생,1,2.0,,,아니요,,내국인,에브리타임,"학회 가입 시 코딩 테스트, 면접 등을 보지 않아서",프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,,경제통상학,취업,8.0,개인,2.0,"B. 데이터 분석가, C. 데이터 사이언티스트",없음,"ADsP, 빅데이터 분석 기사","B. 기획 / 전략 / 경영 직무, C. MD, D. 소프트웨어 개발자, F. PM / 서비스 기획자, H. 마케터 / 영업관리",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카라쿠배당토),"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,여러 현직자분들을 뵙고싶음,자세히 생각해본적 없음,"J. 정보통신업, K. 금융 및 보험업, L. 부동산업, M. 전문, 과학 및 기술 서비스업, N. 사업시설 관리, 사업 지원 및 임대 서비스업, P. 교육 서비스업, R. 예술, 스포츠 및 여가관련 서비스업",,,"Python 응용, 머신러닝 / 딥러닝 응용, SQL 응용",0
TRAIN_025,9,11,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,4,5.0,,,아니요,,내국인,에브리타임,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,,사회과학,취업,4.0,팀,4.0,C. 데이터 사이언티스트,준비중: SQLD,"ADsP, 빅데이터 분석 기사, 정보처리기사","B. 기획 / 전략 / 경영 직무, F. PM / 서비스 기획자",시니어 (10년차 ~),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카라쿠배당토),"온, 오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,규모가 큰 만큼 철저히 준비될 것 같아서,지파운데이션,"O. 공공 행정, 국방 및 사회보장 행정, Q. 보건업 및 사회복지 서비스업",,,웹 크롤링,0
TRAIN_026,9,1,"복수 전공 ( 다중전공, 이중전공 포함 )",자연과학,IT(컴퓨터 공학 포함),False,대학생,13,,,,아니요,,,에브리타임,시간적으로 부담이 없어서,프로젝트 경험,네. 온라인으로 참여하고 싶어요,,,,,,,"공학 (컴퓨터 공학 제외), 경영학",취업,8.0,개인,3.0,B. 데이터 분석가,SQLD,"ADsP, 빅데이터 분석 기사, 태블로 관련 자격증, 구글 애널리스트","A. 금융 / 보험 직무, F. PM / 서비스 기획자, H. 마케터 / 영업관리",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카라쿠배당토),온라인,3~50명 내외의 강의 리스너와 1명의 현직자,온라인이라 많은 이용을 수강가능 할 수 있을 듯 하다,"대기업 금융,증권사 및 네카라쿠배당토",K. 금융 및 보험업,,,SQL 응용,0
TRAIN_027,9,1,단일 전공,자연과학,,True,대학생,6,,,,아니요,,내국인,인스타그램,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",프로젝트 경험,네. 온라인으로 참여하고 싶어요,,,,,,,사회과학,취업,6.0,팀,3.0,B. 데이터 분석가,"ADsP, SQLD","빅데이터 분석 기사, 정보처리기사",A. 금융 / 보험 직무,주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온, 오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,집중도 있는 네트워킹이 가능할 것 같아서,KB,K. 금융 및 보험업,,,"Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용",0
